description,amount,category,type,date
Festive sale shopping on Myntra confirmed,2928,Shopping,expense,2024-01-21
Rapido bike ride to market for family,11496,Travel,expense,2024-01-18
Online order from Snapdeal urgent,12391,Shopping,expense,2024-04-14
RENT PAID FOR JULY via PhonePe,35214,Rent,expense,2023-10-05
Refund from Flipkart order completed,31082,Others,income,2025-01-17
Vegetables and fruits from Nature's Basket for family,1919,Food,expense,2026-06-04
Faasos dinner order urgent,473,Food,expense,2026-08-07
House rent for November completed,13645,Rent,expense,2023-07-03
Paid for office lunch group order this month,1797,Food,expense,2023-11-03
Reimbursement credited by company - paid online,28223,Others,income,2026-01-29
Chai tapri evening hangout,708,Food,expense,2025-07-03
Shopping at Lifestyle - paid online,7508,Shopping,expense,2025-06-25
Salary credited for October 2025 for family,110449,Salary,income,2025-05-07
Theme park annual pass via UPI completed,1061,Entertainment,expense,2024-06-21
salary credited for september 2025,111159,Salary,income,2024-08-04
Hostel rent payment confirmed,21502,Rent,expense,2025-10-13
Weekend brunch at food court,2044,Food,expense,2025-07-10
Salary credited for August 2024 urgent,10874,Salary,income,2025-12-26
Salary credited for March 2025 completed,164118,Salary,income,2025-05-11
Rent paid for March urgent,43136,Rent,expense,2026-04-30
Payment received for tuition classes,2441,Others,income,2024-08-08
RENT DUE CLEARED FOR THIS MONTH,23204,Rent,expense,2026-02-01
Salary transfer via NEFT - noted,39721,Salary,income,2023-12-27
Bought clothes from Allen Solly - noted,49451,Shopping,expense,2026-03-06
House rent for September done,40266,Rent,expense,2023-06-16
freelance graphic design payment received - noted,19995,Others,income,2023-09-03
Winter clothes bought from Zara via GPay,26916,Shopping,expense,2023-04-06
ELECTRICIAN SERVICE PAYMENT via GPay,531,Others,expense,2023-05-12
Dinner at hotel restaurant,2707,Food,expense,2024-01-25
Part time job salary credited,154919,Salary,income,2023-09-06
uber ride to market via GPay,13840,Travel,expense,2026-02-23
salary plus incentive credited for family,86654,Salary,income,2023-09-23
Auto rickshaw fare to mall,13402,Travel,expense,2023-08-30
Money received from friend for shared expense,17776,Others,income,2024-10-10
Rent paid for July urgent,8478,Rent,expense,2025-08-10
jio recharge - noted,26456,Others,expense,2024-02-29
Salary credited for October 2025,26560,Salary,income,2024-03-27
monthly grocery haul at big bazaar,2577,Food,expense,2026-05-19
Flat rent for the month of May again,10548,Rent,expense,2023-10-09
Winter clothes bought from Pantaloons via UPI,25632,Shopping,expense,2024-01-13
Property tax paid - noted,29689,Others,expense,2024-06-24
Bought stationery items,35511,Shopping,expense,2025-10-04
karaoke night with friends confirmed,7066,Entertainment,expense,2025-05-16
Winter clothes bought from Max Fashion confirmed,45809,Shopping,expense,2023-12-03
NGO donation made today,28308,Others,expense,2023-01-13
breakfast at college canteen,977,Food,expense,2024-03-29
rent paid for April completed,5136,Rent,expense,2023-09-08
Rental income received from tenant again,21246,Others,income,2026-02-16
Grocery shopping at DMart today,2871,Food,expense,2023-01-09
New gadget purchased at Croma for family,16505,Shopping,expense,2026-05-16
Rapido bike ride to hospital,17819,Travel,expense,2025-06-06
Movie tickets at Carnival Cinemas completed,5037,Entertainment,expense,2023-10-26
bowling with friends urgent,7956,Entertainment,expense,2025-03-02
Movie tickets at local multiplex via GPay,9064,Entertainment,expense,2023-05-21
Shared cab ride with colleagues again,9281,Travel,expense,2025-08-01
Insurance claim amount credited confirmed,34379,Others,income,2026-06-26
Rent paid for February confirmed,26961,Rent,expense,2025-08-05
Property tax paid,32068,Others,expense,2025-01-11
house rent for february via PhonePe,10107,Rent,expense,2024-03-18
Shopping at Van Heusen (cash),44851,Shopping,expense,2026-04-16
Rent paid for January via PhonePe,8592,Rent,expense,2025-11-20
bought clothes from lifestyle - noted,41804,Shopping,expense,2026-01-18
Freelance project payment received this month,32935,Others,income,2025-10-21
SCHOOL FEES PAID,26199,Others,expense,2023-04-24
Salary credited for September 2024 for family,161414,Salary,income,2025-08-02
purchased home decor items this month,19125,Shopping,expense,2024-09-25
New watch purchased confirmed,11324,Shopping,expense,2023-11-20
Car insurance premium paid for family,26023,Others,expense,2024-10-30
Cab fare to Delhi for business trip,16182,Travel,expense,2023-07-24
KFC dinner order (cash),1874,Food,expense,2025-03-19
Flat rent for the month of November confirmed,31161,Rent,expense,2024-06-21
Rapido bike ride to mall,8800,Travel,expense,2025-03-27
Spotify premium payment today,5782,Entertainment,expense,2025-12-14
Cashback from credit card this month,24555,Others,income,2024-02-07
Freelance writing payment received confirmed,14415,Others,income,2026-08-21
Quick snack from Swiggy,2909,Food,expense,2023-04-11
bought clothes from Pantaloons,5366,Shopping,expense,2024-04-19
Ajio purchase for family,32306,Shopping,expense,2025-09-28
Bought clothes from Allen Solly via GPay,47666,Shopping,expense,2026-07-16
New outfit purchased from Pantaloons - noted,42501,Shopping,expense,2025-08-13
Family movie night at Cinepolis urgent,6810,Entertainment,expense,2024-06-27
new outfit purchased from allen solly,29894,Shopping,expense,2023-11-02
Online order from Flipkart,12710,Shopping,expense,2023-05-30
karaoke night with friends done,1449,Entertainment,expense,2026-01-15
Freelance website payment received for family,31533,Others,income,2024-07-04
Bike fuel expense urgent,5785,Travel,expense,2024-07-02
Bought gifts for friend's wedding done,6987,Shopping,expense,2025-11-15
New watch purchased via PhonePe,15851,Shopping,expense,2024-02-24
online order from flipkart today,45813,Shopping,expense,2025-07-08
Music concert tickets booked urgent,7353,Entertainment,expense,2025-05-26
Rental income received from tenant,21043,Others,income,2023-02-14
movie tickets at Cinepolis urgent,8299,Entertainment,expense,2025-10-26
Video game purchase on Steam via PhonePe,2594,Entertainment,expense,2026-05-26
Sold old furniture - payment received done,23559,Others,income,2024-01-14
family movie night at cinepolis - noted,4652,Entertainment,expense,2023-11-24
Flat rent for the month of October confirmed,15508,Rent,expense,2023-05-22
Quick snack from Dominos,730,Food,expense,2025-10-17
Outstation trip cab booking confirmed,19821,Travel,expense,2026-05-30
ferry ticket booking,315,Travel,expense,2023-07-04
spotify premium payment today,9231,Entertainment,expense,2025-01-01
Salary credited for January 2026 this month,87206,Salary,income,2025-10-24
Salary arrears credited this month,59050,Salary,income,2025-01-03
Money received from friend for shared expense confirmed,38764,Others,income,2026-08-20
Salary credited for March 2024 completed,96164,Salary,income,2023-10-02
salary credited for september 2026 (cash),58467,Salary,income,2025-04-10
Snapdeal purchase this month,49001,Shopping,expense,2024-04-09
House rent for June for family,34268,Rent,expense,2023-11-28
EVENING SNACKS AT ROOFTOP CAFE,1344,Food,expense,2023-06-24
quick snack from CCD,734,Food,expense,2023-06-08
Weekly groceries from local vegetable market via UPI,673,Food,expense,2023-09-10
BOUGHT ELECTRONICS FROM APPLE STORE,4371,Shopping,expense,2024-04-06
Zomato food delivery completed,2055,Food,expense,2024-02-13
Cashback credited on UPI payment today,33429,Others,income,2024-01-02
winter clothes bought from Westside,49374,Shopping,expense,2023-10-29
Salary credited for March 2024 - paid online,34935,Salary,income,2025-04-30
Salary credited for June 2025 for family,89906,Salary,income,2026-08-09
studio apartment rent payment - noted,9339,Rent,expense,2023-11-02
medical bill payment completed,5557,Others,expense,2024-08-01
Movie tickets at INOX via GPay,5454,Entertainment,expense,2024-09-11
family movie night at cinepolis,945,Entertainment,expense,2023-03-14
Movie tickets at INOX today,8556,Entertainment,expense,2025-12-03
Weekend movie outing at local multiplex again,6227,Entertainment,expense,2025-09-22
Rent paid for May via UPI,14524,Rent,expense,2025-08-23
book club membership fee again,2512,Entertainment,expense,2025-09-14
WEEKEND MOVIE OUTING AT CARNIVAL CINEMAS,4652,Entertainment,expense,2023-03-18
Salary credited for November 2025 this month,99865,Salary,income,2024-12-11
Bonus salary credited again,50774,Salary,income,2024-12-05
family dinner at highway dhaba,2462,Food,expense,2024-06-26
flat rent for the month of february confirmed,12038,Rent,expense,2023-09-15
BOX8 ORDER FOR FAMILY,680,Food,expense,2023-08-16
KFC lunch order today,1510,Food,expense,2026-08-10
WATER PURIFIER SERVICE CHARGE,6520,Others,expense,2023-11-08
New watch purchased done,24763,Shopping,expense,2026-08-11
SWIGGY LUNCH ORDER,218,Food,expense,2023-04-05
Rapido bike ride to friend's house,2176,Travel,expense,2025-01-29
standup comedy show tickets again,8918,Entertainment,expense,2026-04-29
cCD food delivery (cash),1605,Food,expense,2023-08-24
BROADBAND BILL PAYMENT,10162,Others,expense,2025-12-19
Flight ticket booking to Chandigarh for family,13399,Travel,expense,2023-08-10
Freelance graphic design payment received today,35039,Others,income,2026-05-27
salary credited for october 2024 again,83128,Salary,income,2023-10-15
Shopping at Lifestyle for family,37546,Shopping,expense,2025-11-06
salary credited to savings account,198698,Salary,income,2024-05-26
monthly salary credited confirmed,12082,Salary,income,2023-11-13
Monthly rent paid to flat owner - noted,36860,Rent,expense,2026-04-30
Monthly metro pass recharge done,17692,Travel,expense,2026-06-18
Payment received for tuition classes via UPI today,2571,Others,income,2026-04-21
Grocery shopping at Nature's Basket again,2312,Food,expense,2024-05-28
Escape room booking with friends for family,8308,Entertainment,expense,2025-03-07
AUTO RICKSHAW FARE TO HOME,7210,Travel,expense,2026-03-24
Shopping at Uniqlo completed,39951,Shopping,expense,2024-02-25
New outfit purchased from Westside again,9511,Shopping,expense,2025-02-28
Salary credited for June 2024 via GPay,175916,Salary,income,2025-10-07
Shop rent payment for the month via UPI,31321,Rent,expense,2026-06-18
late night Dominos order again,2192,Food,expense,2025-03-06
Rent paid for September (cash) - noted,35377,Rent,expense,2024-04-04
Flat rent for the month of February for family,40227,Rent,expense,2025-05-17
Sold old furniture - payment received today,22297,Others,income,2023-06-06
Salary credited for November 2026 again,60254,Salary,income,2025-05-06
Amusement park tickets again,1248,Entertainment,expense,2026-03-15
Flight ticket booking to Lucknow urgent,12398,Travel,expense,2024-04-21
Salary credited for December 2024 today,58301,Salary,income,2025-11-03
oTT platform subscription renewal,3151,Entertainment,expense,2023-11-29
Mobile phone repair payment done,33346,Others,expense,2023-08-20
PURCHASED A BICYCLE,13709,Shopping,expense,2024-09-23
LUNCH WITH FRIENDS AT COLLEGE CANTEEN,725,Food,expense,2024-03-14
New outfit purchased from H&M again,24334,Shopping,expense,2025-12-18
College tuition fee paid urgent,33811,Others,expense,2023-01-22
comic con tickets booked via PhonePe,4596,Entertainment,expense,2023-08-16
Salary credited for February 2026 - paid online,183468,Salary,income,2025-01-25
movie tickets at local multiplex confirmed,7295,Entertainment,expense,2024-01-24
Bus ticket to Bengaluru this month,7853,Travel,expense,2025-05-22
Salary credited after tax deduction this month,159617,Salary,income,2024-08-15
Cab fare to Kolkata for business trip done,772,Travel,expense,2026-06-30
online order from flipkart completed,26174,Shopping,expense,2026-04-20
Paid mess bill for the month again,1099,Food,expense,2025-11-22
Rental car booking for trip done,6228,Travel,expense,2023-07-17
home loan EMI paid confirmed,2915,Others,expense,2025-01-10
House rent for July,43194,Rent,expense,2026-03-14
pg rent payment,8477,Rent,expense,2023-04-26
PlayStation Plus subscription - paid online,8681,Entertainment,expense,2025-07-03
Car insurance premium paid via UPI,7393,Others,expense,2024-01-14
Freelance website payment received via GPay,1191,Others,income,2023-10-17
rapido bike ride to friend's house today,9126,Travel,expense,2023-11-02
Pet care expenses,22553,Others,expense,2023-06-24
Netflix subscription urgent,4494,Entertainment,expense,2026-02-05
uber ride to mall,6395,Travel,expense,2025-01-21
Purchased a backpack,41220,Shopping,expense,2025-06-20
bought gifts for friend's wedding via GPay,22084,Shopping,expense,2024-02-27
bought a smartwatch,7995,Shopping,expense,2025-05-14
nykaa purchase completed,28567,Shopping,expense,2025-06-10
house rent for march (cash),48031,Rent,expense,2024-03-20
McDonald's order for family this month,2483,Food,expense,2024-11-11
Salary credited for September 2024 done,120772,Salary,income,2025-03-28
Rent paid for March today,48697,Rent,expense,2025-01-09
bought skincare products,42816,Shopping,expense,2023-04-28
Swiggy Instamart grocery order,2770,Food,expense,2023-11-08
Monthly metro pass recharge completed,15465,Travel,expense,2023-12-09
Purchased perfume online again,24888,Shopping,expense,2023-03-31
Rent paid for January done,28020,Rent,expense,2023-04-26
Society maintenance and rent paid completed,22834,Rent,expense,2026-06-29
Salary credited for December 2025 done,109337,Salary,income,2023-02-23
train ticket booked to jaipur via irctc,6124,Travel,expense,2023-09-28
rent paid for june urgent,44125,Rent,expense,2024-04-18
CCD order for family via GPay,697,Food,expense,2023-02-03
Bonus salary credited urgent,159795,Salary,income,2023-09-14
Bus ticket to Chennai again,9640,Travel,expense,2023-04-17
Festive sale shopping on Nykaa done,5319,Shopping,expense,2026-05-10
Shoes bought from store completed,327,Shopping,expense,2023-04-01
salary credited for december 2024 (cash),83260,Salary,income,2024-05-24
Personal loan EMI paid via PhonePe,27236,Others,expense,2023-01-03
Vet bill for pet checkup again,216,Others,expense,2026-07-31
Barista lunch order for family,1113,Food,expense,2026-05-05
grocery shopping at local kirana store,1506,Food,expense,2023-06-22
Interest credited on savings account done,37888,Others,income,2024-04-14
parking fee paid done,4883,Travel,expense,2026-08-02
Rent paid for July completed,41636,Rent,expense,2024-08-26
Salary credited for February 2025,62526,Salary,income,2026-08-04
House rent for March for family,21579,Rent,expense,2026-02-05
bike servicing at garage urgent,10363,Travel,expense,2025-05-17
WINTER CLOTHES BOUGHT FROM H&M,44796,Shopping,expense,2023-05-27
family movie night at inox via GPay,3298,Entertainment,expense,2023-04-22
Bus ticket to Pune - paid online,7997,Travel,expense,2024-08-14
winter clothes bought from van heusen today,20640,Shopping,expense,2025-05-10
Bought a laptop bag done,4110,Shopping,expense,2025-06-03
Salary transfer via NEFT this month,30266,Salary,income,2024-04-04
SALARY CREDITED FOR JULY 2025,80089,Salary,income,2023-04-19
Salary credited for February 2023 urgent,65058,Salary,income,2026-04-11
book club membership fee completed,9509,Entertainment,expense,2026-01-14
Rental car booking for trip again,1866,Travel,expense,2024-11-09
Grocery shopping at Spencer's,1748,Food,expense,2024-08-28
Weekly groceries from local kirana store for family,2338,Food,expense,2024-05-17
Rapido bike ride to mall again,16535,Travel,expense,2023-11-30
MONTHLY SALARY CREDITED,143352,Salary,income,2023-12-12
net salary after deductions credited,23357,Salary,income,2025-02-17
Bus ticket to Pune confirmed,9097,Travel,expense,2024-11-10
Movie tickets at local multiplex,3118,Entertainment,expense,2024-01-06
movie tickets at pvr via UPI,5315,Entertainment,expense,2023-07-09
KFC lunch order via PhonePe,831,Food,expense,2026-04-04
House rent for October today,7481,Rent,expense,2026-03-09
Salary credited to savings account - noted,145601,Salary,income,2023-11-21
Swiggy food delivery via UPI,639,Food,expense,2023-01-31
Concert tickets booked (cash),8839,Entertainment,expense,2025-05-31
flight ticket booking to Chennai done,10824,Travel,expense,2024-09-24
YouTube Premium subscription - paid online,710,Entertainment,expense,2024-10-18
Monthly rent paid to landlord done,17280,Rent,expense,2026-05-03
Refund received from Amazon for family,38012,Others,income,2026-04-30
society maintenance and rent paid today,12882,Rent,expense,2025-12-25
Snapdeal purchase completed,31668,Shopping,expense,2026-02-22
Bus ticket to Ahmedabad again,13437,Travel,expense,2024-06-22
MUSIC CONCERT TICKETS BOOKED confirmed,5083,Entertainment,expense,2025-10-16
Ola auto ride to market,8661,Travel,expense,2023-05-18
Car servicing payment confirmed,3550,Travel,expense,2025-02-18
Auto rickshaw fare to office - noted,2000,Travel,expense,2023-01-22
rent paid for march urgent,22641,Rent,expense,2023-09-14
bought sunglasses,21530,Shopping,expense,2025-09-09
sold old mobile phone - payment received done,14381,Others,income,2025-09-26
Karaoke night with friends (cash),7132,Entertainment,expense,2023-05-02
Bought clothes from Lifestyle for family,2769,Shopping,expense,2025-04-12
rapido bike ride to hospital,15166,Travel,expense,2025-06-07
Annual increment salary credited again,168820,Salary,income,2024-05-24
Paid mess bill for the month,2911,Food,expense,2023-04-20
Rent paid via bank transfer - paid online,38044,Rent,expense,2023-03-10
Karaoke night with friends - noted,4177,Entertainment,expense,2026-05-18
Zoo entry tickets for family this month,7779,Entertainment,expense,2026-01-12
late night ccd order,1341,Food,expense,2024-09-28
diesel refill for car,12816,Travel,expense,2024-05-11
rent paid for April,29878,Rent,expense,2025-05-18
Car insurance premium paid,22141,Others,expense,2024-08-11
Vegetables and fruits from local vegetable market - noted,1211,Food,expense,2023-06-09
monthly wages credited for family,143054,Salary,income,2024-08-03
Lunch with friends at food court today,862,Food,expense,2025-10-19
rent paid for january completed,12943,Rent,expense,2026-03-07
Amazon Prime Video subscription for family,2189,Entertainment,expense,2023-09-27
Swiggy dinner order today,1610,Food,expense,2024-08-10
CAR SERVICING PAYMENT,15672,Travel,expense,2023-11-29
Take home salary deposited confirmed,133262,Salary,income,2025-02-28
Family movie night at INOX this month,6125,Entertainment,expense,2024-08-31
Rent paid for 2BHK apartment completed,20967,Rent,expense,2026-04-06
Weekend movie outing at Carnival Cinemas completed,3053,Entertainment,expense,2025-02-08
OTT platform subscription renewal done,1905,Entertainment,expense,2023-12-18
Cashback credited on UPI payment,6234,Others,income,2024-08-22
Ajio purchase urgent,9752,Shopping,expense,2024-11-27
Karaoke night with friends today,173,Entertainment,expense,2026-03-15
shared cab ride with colleagues,16869,Travel,expense,2024-10-12
MONTHLY WAGES CREDITED,80778,Salary,income,2023-06-23
Netflix subscription via PhonePe,4783,Entertainment,expense,2026-02-14
late night chaayos order,2178,Food,expense,2025-11-05
Ola cab booking to airport completed,12706,Travel,expense,2023-09-07
Bought skincare products this month,6398,Shopping,expense,2026-05-13
Movie tickets at INOX again,7532,Entertainment,expense,2023-12-07
Warehouse rent paid (cash),31347,Rent,expense,2024-04-07
Faasos lunch order,1116,Food,expense,2026-02-07
House rent for May today,38880,Rent,expense,2023-10-19
Festive sale shopping on Snapdeal urgent,27560,Shopping,expense,2023-02-15
House rent for August again,22058,Rent,expense,2023-12-14
freelance project payment received today,29105,Others,income,2023-06-19
Monthly rent paid to society office urgent,22790,Rent,expense,2025-01-12
Weekend brunch at roadside stall,2501,Food,expense,2024-03-18
Gaming subscription renewal this month,6450,Entertainment,expense,2024-03-31
Monthly grocery haul at Nature's Basket for family,2000,Food,expense,2025-01-24
Family movie night at Cinepolis today,2583,Entertainment,expense,2025-05-19
Bought clothes from Levis today,42759,Shopping,expense,2024-05-04
Ola cab booking to mall via UPI,7758,Travel,expense,2026-02-06
Winter clothes bought from Lifestyle this month,15392,Shopping,expense,2023-07-08
salary credited for March 2026 completed,52767,Salary,income,2024-09-21
Meesho shopping haul via PhonePe,21962,Shopping,expense,2026-01-29
Cab fare to Bengaluru for business trip - noted,10448,Travel,expense,2026-06-10
Netflix subscription via GPay confirmed,8758,Entertainment,expense,2025-06-27
Car insurance premium paid today,28432,Others,expense,2024-09-07
music concert tickets booked done,9073,Entertainment,expense,2023-11-09
Winter clothes bought from Max Fashion again,4656,Shopping,expense,2025-09-05
Meesho purchase this month,23444,Shopping,expense,2025-01-08
BOUGHT CURTAINS AND BEDSHEETS,4821,Shopping,expense,2026-07-29
Dinner at hotel restaurant this month,1370,Food,expense,2025-06-14
Uber ride to airport for family,2183,Travel,expense,2024-02-11
Rapido bike ride to client meeting,11746,Travel,expense,2024-01-02
Dinner at friend's place done,1318,Food,expense,2025-07-17
Spotify premium payment via UPI,4844,Entertainment,expense,2024-09-01
Book club membership fee this month,5185,Entertainment,expense,2024-04-04
Rent paid for November (cash),40509,Rent,expense,2026-03-27
Weekend movie outing at INOX - noted,1565,Entertainment,expense,2026-07-10
Weekend brunch at rooftop cafe,217,Food,expense,2025-10-09
standup comedy show tickets this month,5417,Entertainment,expense,2023-07-08
breakfast at local restaurant,1080,Food,expense,2025-10-10
Rent transferred to society office via UPI this month,7868,Rent,expense,2023-09-23
Temple donation confirmed,26110,Others,expense,2023-02-26
Grocery shopping at local kirana store - noted,1763,Food,expense,2025-07-29
Flat rent for the month of October done,13059,Rent,expense,2023-10-14
Ola cab booking to hospital for family,18763,Travel,expense,2025-06-20
Amazon shopping haul - noted,21307,Shopping,expense,2023-02-12
Train ticket booked to Surat via IRCTC - paid online,13167,Travel,expense,2024-10-25
Video game purchase on Steam - paid online,8443,Entertainment,expense,2026-08-20
Water purifier service charge done,20397,Others,expense,2024-09-07
Rent paid for May again,45542,Rent,expense,2023-11-26
Flight ticket booking to Kolkata via UPI,15187,Travel,expense,2024-04-14
hotstar subscription renewal via GPay today,4033,Entertainment,expense,2026-07-03
Laptop repair service payment via GPay,14240,Others,expense,2025-05-15
movie tickets at local multiplex,8826,Entertainment,expense,2023-09-15
Flat rent for the month of January urgent,22250,Rent,expense,2026-06-09
Referral bonus credited confirmed,25654,Others,income,2024-02-11
Salary credited for August 2026 - noted,14359,Salary,income,2026-07-21
Rental income received from tenant completed,23010,Others,income,2026-08-02
Salary credited for December 2023 via PhonePe,171998,Salary,income,2023-07-30
salary credited for august 2023,59193,Salary,income,2025-05-10
Winter clothes bought from Levis via GPay,48686,Shopping,expense,2024-08-23
Auto rickshaw fare to college for family,4364,Travel,expense,2025-12-10
rent paid for February,5857,Rent,expense,2024-03-03
PERSONAL LOAN EMI PAID confirmed,25358,Others,expense,2025-10-22
Ordered sushi from Faasos again,1148,Food,expense,2024-02-09
Purchased a bicycle - paid online,3675,Shopping,expense,2025-04-12
flat rent for the month of December,17489,Rent,expense,2024-11-23
Temple donation today,18577,Others,expense,2026-01-22
bought sunglasses completed,43431,Shopping,expense,2026-04-25
Pizza Hut dinner order via GPay,1226,Food,expense,2026-07-02
Gift money received from relative via UPI urgent,19553,Others,income,2023-01-22
Net salary after deductions credited for family,147696,Salary,income,2025-10-27
New gadget purchased at Croma done,22716,Shopping,expense,2023-05-23
Ola cab booking to market (cash) done,3048,Travel,expense,2026-08-20
weekly groceries from local kirana store,2330,Food,expense,2026-08-13
Cab fare to Delhi for business trip confirmed,19141,Travel,expense,2024-07-06
FREELANCE WRITING PAYMENT RECEIVED confirmed,17843,Others,income,2023-11-15
salary credited for july 2024,122750,Salary,income,2025-08-27
Rent paid for April confirmed,13852,Rent,expense,2024-09-10
Flat rent for the month of August - noted,36762,Rent,expense,2026-05-07
Ola cab booking to client meeting via UPI,10731,Travel,expense,2024-10-11
FASTag recharge via GPay,11287,Travel,expense,2025-12-19
Snapdeal shopping haul (cash) done,32486,Shopping,expense,2023-07-09
Lunch with friends at office canteen urgent,2847,Food,expense,2025-09-29
mobile phone repair payment,17357,Others,expense,2026-08-21
Mobile phone repair payment this month,25566,Others,expense,2023-10-07
SHOES BOUGHT FROM STORE,36289,Shopping,expense,2025-03-16
Ola cab booking to college today,8389,Travel,expense,2024-10-19
Salary credited for August 2025 completed,154595,Salary,income,2025-02-19
Dividend received from mutual funds (cash),25752,Others,income,2026-07-05
myntra shopping haul,30399,Shopping,expense,2025-01-11
Salary credited for June 2023 (cash),96837,Salary,income,2023-11-23
Bowling with friends - noted,6215,Entertainment,expense,2023-06-14
movie tickets at local multiplex urgent,7804,Entertainment,expense,2025-06-01
Commission received from sale urgent,8278,Others,income,2025-06-21
rent paid for june,19517,Rent,expense,2026-08-05
Family dinner at college canteen - noted,543,Food,expense,2024-04-23
Sold used books - payment received again,35082,Others,income,2026-08-09
Salary credited for September 2025 for family,34064,Salary,income,2024-06-24
MYNTRA PURCHASE this month,34144,Shopping,expense,2023-10-30
Monthly salary credited for family,40195,Salary,income,2023-04-19
tax refund credited for family,3555,Others,income,2026-05-20
Weekly groceries from Big Bazaar done,673,Food,expense,2023-06-10
Cashback credited on UPI payment for family,34001,Others,income,2026-08-17
Ferry ticket booking urgent,12167,Travel,expense,2025-08-14
House rent for March confirmed,37662,Rent,expense,2023-07-23
Train ticket booked to Chennai via IRCTC done,5270,Travel,expense,2025-03-06
NGO donation made urgent,8751,Others,expense,2025-01-17
Evening snacks at office canteen,1613,Food,expense,2024-08-06
Payment received for tuition classes done,11030,Others,income,2025-05-21
Salary credited by HR department completed,144981,Salary,income,2025-04-26
Monthly rent paid to society office confirmed,35014,Rent,expense,2026-02-22
rent transferred to society office via upi confirmed,5078,Rent,expense,2026-08-22
Ordered sandwich from CCD,280,Food,expense,2023-01-08
Take home salary deposited completed,55553,Salary,income,2025-08-27
Salary credited for July 2025 via GPay,114963,Salary,income,2026-06-21
EVENING SNACKS AT ROOFTOP CAFE confirmed,1846,Food,expense,2025-08-04
Bought electronics from Reliance Digital,1716,Shopping,expense,2023-10-15
HOME WIFI BILL PAYMENT,16261,Others,expense,2023-05-18
Bonus salary credited completed,21175,Salary,income,2024-12-27
Family movie night at INOX today,1413,Entertainment,expense,2023-07-03
NGO DONATION MADE,269,Others,expense,2025-09-16
company payroll deposit today,54390,Salary,income,2023-01-22
Festive sale shopping on Flipkart,3214,Shopping,expense,2025-03-09
Flipkart shopping haul again,10098,Shopping,expense,2026-04-29
insurance claim amount credited,19282,Others,income,2025-10-07
Old bond maturity amount credited urgent,34020,Others,income,2024-10-03
MUSIC CONCERT TICKETS BOOKED,4514,Entertainment,expense,2024-07-07
Amusement park tickets done,3255,Entertainment,expense,2024-06-07
Auto rickshaw fare to airport for family,12106,Travel,expense,2026-04-20
Old bond maturity amount credited for family,7116,Others,income,2024-05-19
Movie tickets at Cinepolis for family,5441,Entertainment,expense,2024-04-16
Ola auto ride to market again,12124,Travel,expense,2024-06-26
Rapido bike ride to market today,11720,Travel,expense,2024-05-15
College tuition fee paid again,8350,Others,expense,2025-01-19
house rent for december,37356,Rent,expense,2024-09-13
advance rent paid for new flat urgent,25611,Rent,expense,2023-03-06
New watch purchased urgent,39595,Shopping,expense,2024-11-09
Salary credited for March 2024 (cash),170104,Salary,income,2024-11-06
Faasos order for family confirmed,1286,Food,expense,2026-08-07
playstation plus subscription,8791,Entertainment,expense,2023-11-29
New outfit purchased from Levis again,33006,Shopping,expense,2024-10-16
movie tickets at Cinepolis,2546,Entertainment,expense,2026-01-23
rent paid for january done,13257,Rent,expense,2025-12-01
Bus ticket to Chandigarh completed,8115,Travel,expense,2024-12-05
Zomato food delivery today,2146,Food,expense,2026-03-06
Cycle rickshaw fare for family,10063,Travel,expense,2023-01-25
Company payroll deposit confirmed,86725,Salary,income,2024-05-15
Swiggy food delivery this month,2478,Food,expense,2023-07-15
House rent for August completed,20198,Rent,expense,2023-05-05
Cab fare to Pune for business trip this month,12243,Travel,expense,2024-08-29
Salary arrears credited done,97570,Salary,income,2023-02-12
Movie tickets at local multiplex confirmed,7636,Entertainment,expense,2025-03-21
Train ticket booked to Mumbai via IRCTC this month,18181,Travel,expense,2024-12-12
Rent paid to broker,13694,Rent,expense,2023-12-31
Metro card recharge completed,7455,Travel,expense,2023-08-02
Salary received from employer - noted,114947,Salary,income,2023-06-13
RENT SPLIT WITH ROOMMATE PAID,47544,Rent,expense,2023-09-24
Shopping at Levis,46341,Shopping,expense,2024-06-14
kFC dinner order,521,Food,expense,2024-12-25
Bus ticket to Bengaluru,4824,Travel,expense,2024-01-25
Bought clothes from Van Heusen for family,16490,Shopping,expense,2024-12-18
Train ticket booked to Ahmedabad via IRCTC for family,7923,Travel,expense,2025-05-08
Salary credited for October 2023 today,51615,Salary,income,2025-05-13
weekend movie outing at local multiplex via GPay,8563,Entertainment,expense,2026-03-23
Concert tickets booked via UPI today,5204,Entertainment,expense,2023-11-27
AUTO RICKSHAW FARE TO MALL - noted,12674,Travel,expense,2025-03-18
Salary credited for September 2024 again,114389,Salary,income,2025-11-25
House maintenance charges paid via GPay,9756,Others,expense,2024-04-06
Rent transferred to property owner via UPI completed,20589,Rent,expense,2024-03-20
Rent paid for 2BHK apartment,12913,Rent,expense,2025-03-15
Weekend movie outing at Cinepolis via GPay,2786,Entertainment,expense,2023-02-22
amazon prime video subscription,2192,Entertainment,expense,2024-01-14
Weekend movie outing at Cinepolis confirmed,9688,Entertainment,expense,2025-05-19
Rent transferred to property owner via UPI again,18058,Rent,expense,2024-01-16
Hotstar subscription renewal via PhonePe,3361,Entertainment,expense,2023-01-09
Shopping at Allen Solly,19455,Shopping,expense,2023-01-14
